epoch,rx_pkts,age_ms,remote_state
1783368968,5393,0.8,3,1
1783368969,5507,3.5,3,1
1783368970,5623,0.9,3,1
1783368971,5736,6.9,3,1
1783368972,5851,3.2,3,1
1783368973,5966,0.9,3,1
1783368974,6080,4.2,3,1
1783368975,6194,5.2,3,1
1783368976,6308,6.6,3,1
1783368977,6423,5.4,3,1
1783368978,6537,6.8,3,1
1783368979,6651,4.5,3,1
1783368980,6765,1.5,3,1
1783368981,6880,5.4,3,1
1783368982,6994,3.2,3,1
1783368983,7108,1.9,3,1
1783368984,7219,6.5,3,1
1783368985,7332,4.1,3,1
1783368986,7379,631.2,3,0
1783368987,7379,1632.6,3,0
1783368988,7379,2634.0,3,0
1783368989,7379,3635.4,3,0
1783368990,7379,4636.7,3,0
1783368991,7379,5638.1,3,0
1783368992,7379,6639.5,3,0
1783368993,7379,7640.8,3,0
1783368994,7379,8642.2,3,0
1783368995,7379,9643.4,3,0
1783368996,7379,10544.7,3,0
1783368997,7379,11545.9,3,0
1783368998,7379,12547.3,3,0
1783368999,7379,13548.7,3,0
1783369000,7379,14550.1,3,0
1783369001,7379,15551.3,3,0
1783369002,7379,16552.7,3,0
1783369003,7379,17554.1,3,0
1783369004,7379,18555.5,3,0
1783369005,7379,19556.9,3,0
1783369006,7379,20558.3,3,0
1783369007,7379,21559.7,3,0
1783369008,7379,22561.0,3,0
1783369009,7379,23562.4,3,0
1783369010,7379,24563.7,3,0
1783369011,7379,25565.0,3,0
1783369012,7448,7.3,3,1
1783369013,7564,3.0,3,1
1783369014,7678,5.4,3,1
1783369015,7793,5.6,3,1
1783369016,7908,5.7,3,1
1783369017,8023,5.2,3,1
1783369018,8139,6.2,3,1
1783369019,8255,8.5,3,1
1783369020,8369,7.1,3,1
1783369021,8483,3.5,3,1
1783369022,8598,3.1,3,1
1783369023,8713,4.4,3,1
1783369024,8827,4.7,3,1
1783369025,8942,2.5,3,1
1783369026,9055,3.2,3,1
1783369027,9169,1.5,3,1
1783369028,9283,7.7,3,1
1783369029,9398,0.9,3,1
1783369030,9513,0.1,3,1
1783369031,9627,6.2,3,1
1783369032,9742,8.0,3,1
1783369033,9859,2.3,3,1
1783369034,9973,3.0,3,1
1783369035,10087,3.0,3,1
1783369036,10201,3.1,3,1
1783369037,10315,3.7,3,1
1783369038,10429,4.3,3,1
1783369039,10542,6.4,3,1
1783369040,10657,3.8,3,1
1783369041,10772,5.2,3,1
1783369042,10887,2.9,3,1
1783369043,11000,3.9,3,1
1783369044,11114,5.2,3,1
1783369045,11228,7.1,3,1
1783369046,11342,4.8,3,1
1783369047,11456,0.3,3,1
1783369048,11570,2.9,3,1
1783369049,11685,2.3,3,1
1783369050,11799,0.9,3,1
epoch,rx_pkts,age_ms,remote_state,alive
1783369232,1,0.8,3,1
1783369233,69,6.2,3,1
1783369234,184,5.5,3,1
1783369235,296,4.4,3,1
1783369236,409,2.5,3,1
1783369237,522,7.4,3,1
1783369238,637,3.9,3,1
1783369239,753,2.9,3,1
1783369240,865,8.3,3,1
1783369241,981,0.2,3,1
1783369242,1096,0.2,3,1
1783369243,1209,4.7,3,1
1783369244,1323,2.2,3,1
1783369245,1436,3.0,3,1
1783369246,1550,7.8,3,1
1783369247,1664,2.9,3,1
1783369248,1779,8.7,3,1
1783369249,1894,7.0,3,1
1783369250,2010,5.8,3,1
1783369251,2124,2.9,3,1
1783369252,2237,0.9,3,1
1783369253,2351,2.0,3,1
1783369254,2464,9.0,3,1
1783369255,2578,6.9,3,1
1783369256,2693,1.6,3,1
1783369257,2806,7.5,3,1
1783369258,2918,9.1,3,1
1783369259,3034,0.5,3,1
1783369260,3148,4.8,3,1
1783369261,3262,6.6,3,1
1783369262,3377,3.1,3,1
1783369263,3492,3.2,3,1
1783369264,3604,7.7,3,1
1783369265,3718,5.8,3,1
1783369266,3832,2.9,3,1
1783369267,3933,6.6,3,1
1783369268,4047,7.5,3,1
1783369269,4162,3.1,3,1
1783369270,4276,5.4,3,1
1783369271,4392,1.8,3,1
1783369272,4508,0.4,3,1
1783369273,4607,155.3,1,1
1783369274,4607,1155.9,1,1
1783369275,4607,2156.5,1,1
1783369276,4607,3204.1,1,0
1783369277,4607,4204.9,1,0
1783369278,4607,5205.4,1,0
1783369279,4607,6205.8,1,0
1783369280,4607,7206.4,1,0
1783369281,4607,8206.7,1,0
1783369282,4607,9207.3,1,0
1783369283,4607,10207.7,1,0
1783369284,4607,11208.1,1,0
1783369285,4700,3.8,3,1
1783369286,4814,4.3,3,1
1783369287,4929,4.3,3,1
1783369288,5044,0.2,3,1
1783369289,5156,9.0,3,1
1783369290,5271,6.3,3,1
1783369291,5385,1.6,3,1
1783369292,5498,7.5,3,1
1783369293,5576,8.9,3,1
1783369294,5689,6.5,3,1
1783369295,5805,0.9,3,1
1783369296,5919,6.7,3,1
1783369297,6034,2.5,3,1
1783369298,6152,3.9,3,1
1783369299,6265,7.9,3,1
1783369300,6378,8.5,3,1
1783369301,6493,5.7,3,1
1783369302,6609,2.9,3,1
1783369303,6724,5.0,3,1
1783369304,6838,4.1,3,1
1783369305,6953,3.2,3,1
1783369306,7067,4.6,3,1
1783369307,7113,631.8,3,0
1783369308,7113,1632.4,3,0
1783369309,7113,2633.2,3,0
